movie_id,movie_image,movie_title,genres,country,director,duration,movie_year,actors,description,action_link,movie_link,episode_links
1,https://cdn.upmovies.net/JYLULSB.jpg,D-day (drama),Drama,South Korea,,,2015,,"When a natural disaster strikes Seoul, a team of medical doctors and emergency personnel struggle to deal with its aftermath and help save the victims who suffered from the disaster.",https://upmovies.net/watch/yGD6lNv6-d-day-drama.html,https://eplayvid.net/watch/d05b36d34d2fcb6,"https://eplayvid.net/watch/a83d8a612fbe6d9, https://eplayvid.net/watch/d05b36d34d2fcb6, https://eplayvid.net/watch/f93abab5ace2af5, https://eplayvid.net/watch/d594feee57e89de, https://eplayvid.net/watch/8206daa3604393d, https://eplayvid.net/watch/40820a998edb0df, https://eplayvid.net/watch/967820694a28884, https://eplayvid.net/watch/04d26951398d9e2, https://eplayvid.net/watch/4147eac4b39e710, https://eplayvid.net/watch/03da3eefea03aa4, https://eplayvid.net/watch/b18ac864332bfc9, https://eplayvid.net/watch/24cc192d9c290a7, https://eplayvid.net/watch/621a5ed8d98ca59, https://eplayvid.net/watch/a910c7d7695a4b6, https://eplayvid.net/watch/4c16ce578740075, https://eplayvid.net/watch/cf498cdd4875421, https://eplayvid.net/watch/65a00c4143d80a2, https://eplayvid.net/watch/21b47aa25dc3763, https://eplayvid.net/watch/46e4ade0412cd11, https://eplayvid.net/watch/95a6f3f166d32ed"
2,https://cdn.upmovies.net/MV5BZmYxY2U5YjItMzFmYy00NTEzLTkxODMtNjFkMDZkYTUzMDMwXkEyXkFqcGdeQXVyNTM2MDEzNTg@._V1_SX300.jpg,D-frag! (sub),"Animation, Comedy",Japan,,,2014–,"Jamie Marchi, Sam Swanson",A high-school delinquent is shanghaied into joining a game development club by four not-so-normal girls.,https://upmovies.net/watch/oxQjMNGn-d-frag-sub.html,https://eplayvid.net/watch/ff4c7d17a8d52cf,"https://eplayvid.net/watch/5ce877a4af92a18, https://eplayvid.net/watch/14bcb6d1a21a4ff, https://eplayvid.net/watch/05a484c99dfba4c, https://eplayvid.net/watch/ed44ac526e971ed, https://eplayvid.net/watch/67cd3ed56339dfa, https://eplayvid.net/watch/3650a004dd21f91, https://eplayvid.net/watch/790473ebce9e531, https://eplayvid.net/watch/ff4c7d17a8d52cf, https://eplayvid.net/watch/99554d8dd6a7a2e, https://eplayvid.net/watch/eb50600f1ddf5f8, https://eplayvid.net/watch/f3b508617dce197, https://eplayvid.net/watch/f8e31545a94c86b"
3,https://cdn.upmovies.net/JJDRSSd.jpg,Chicago P.d: Season 2,"Action, Drama",United States,,60 min,2014,"Jason Beghe, Jon Seda, Sophia Bush","Follows District 21 of the Chicago Police Department, which is made up of two distinctly different groups: the uniformed cops and the Intelligence Unit.",https://upmovies.net/watch/EvJkYbxW-chicago-p-d-season-2.html,https://eplayvid.net/watch/d417f8a383eaa2c,"https://eplayvid.net/watch/d417f8a383eaa2c, https://eplayvid.net/watch/3a4f9e051006eb0, https://eplayvid.net/watch/8fc3426cb81b6ac, https://eplayvid.net/watch/86dc3bbc259ad1b, https://eplayvid.net/watch/788c3500527b426, https://eplayvid.net/watch/b7f6d710642a81e, https://eplayvid.net/watch/690a9b23992fa55, https://eplayvid.net/watch/7f3abcc331ed145, https://eplayvid.net/watch/b3809913e27beda, https://eplayvid.net/watch/c0cea11dddbee27, https://eplayvid.net/watch/20fd5fa59a3c1ca, https://eplayvid.net/watch/b8f92eb6573e0c9, https://eplayvid.net/watch/bf768db9ac59de8, https://eplayvid.net/watch/fe3d422650e760b, https://eplayvid.net/watch/5701b65230acd67, https://eplayvid.net/watch/c16527623f3b582, https://eplayvid.net/watch/e34497a6c61b5f1, https://eplayvid.net/watch/a904a6f9fde5a3b, https://eplayvid.net/watch/7b6567100a2f7df, https://eplayvid.net/watch/eb8cff877106c53, https://eplayvid.net/watch/041dd7263669186, https://eplayvid.net/watch/8732ce16d744403"
4,https://cdn.upmovies.net/JJDRSSd.jpg,Chicago P.d: Season 1,"Action, Drama",United States,,60 min,2014,"Jason Beghe, Jon Seda, Sophia Bush","Follows District 21 of the Chicago Police Department, which is made up of two distinctly different groups: the uniformed cops and the Intelligence Unit.",https://upmovies.net/watch/EdZb79dp-chicago-p-d-season-1.html,https://eplayvid.net/watch/c2e1f38d687a7f1,"https://eplayvid.net/watch/c2e1f38d687a7f1, https://eplayvid.net/watch/18392e6d897884a, https://eplayvid.net/watch/5f2eca3599974f7, https://eplayvid.net/watch/768242604ee91a4, https://eplayvid.net/watch/d767b1cdc750886, https://eplayvid.net/watch/d5a3723779c1c27, https://eplayvid.net/watch/07abfe2e0e11e2c, https://eplayvid.net/watch/a37c70fec17eb0c, https://eplayvid.net/watch/fa6807a02df3d17, https://eplayvid.net/watch/dc23865ac2bb19c, https://eplayvid.net/watch/2f8de8b2803132d, https://eplayvid.net/watch/6dad293e2cb5273, https://eplayvid.net/watch/52bf2765589cec5, https://eplayvid.net/watch/9cdae9a94dea8ac, https://eplayvid.net/watch/74399c3ac49fc6e"
5,https://cdn.upmovies.net/MV5BMTUzODI0NDYwNF5BMl5BanBnXkFtZTgwNTU5OTk1MjE@._V1_SX300.jpg,D-day: Normandy 1944,"Documentary, Short, Family, History",France,Pascal Vuong,43 min,2014,"Tom Brokaw, François Cluzet, Glynis Loizeau","Allied forces invade Normandy on June 6, 1944.",https://upmovies.net/watch/ovlYwP0x-d-day-normandy-1944.html,https://eplayvid.net/watch/25be1af0c946769,
6,https://cdn.upmovies.net/py2OjjJ.png,Manzo'd With Children: Season 2,Reality-TV,United States,,,2014–,"Albert Manzo, Caroline Manzo","After five seasons on The Real Housewives of New Jersey, Caroline Manzo was ready to leave the crazy drama behind for more family friendly fare. Enter spin-off, Manzo'd with Children, where viewers can get a weekly, more in-depth look at the Manzo family and Caroline's role as Manzo matriarch.",https://upmovies.net/watch/JdAlB0GL-manzo-d-with-children-season-2.html,https://eplayvid.net/watch/60f87d248f10419,"https://eplayvid.net/watch/60f87d248f10419, https://eplayvid.net/watch/b4dd9d4d41cc96f, https://eplayvid.net/watch/d4c9c18d9adcb36, https://eplayvid.net/watch/1a737df602aad83, https://eplayvid.net/watch/9902686beff4d0f, https://eplayvid.net/watch/48079a214668f52, https://eplayvid.net/watch/41c35f0a40a7aba, https://eplayvid.net/watch/e39b7193161c81c, https://eplayvid.net/watch/e3c72882bfd64a8, https://eplayvid.net/watch/08a1bc3dc0dcc2a, https://eplayvid.net/watch/c09923a23d7c559, https://eplayvid.net/watch/9269e86b2ea38f3"
7,https://cdn.upmovies.net/the-science-of-d-day-2014-67153.jpg,The Science Of D-day,"Documentary, War",United Kingdom,Richard Townsend,30 min,2014,"Rob Bell, David Willey, Jonathan Pearson, Cecil Newton",,https://upmovies.net/watch/mx5Vk3GR-the-science-of-d-day.html,https://eplayvid.net/watch/f8876d55b90eeab,
8,https://cdn.upmovies.net/iuS0c7K.jpg,Barry'd Treasure: Season 1,Reality-TV,United States,,,2014,"Barry Weiss, Kentuckyana Jones",Storage Wars Barry Weiss travels around the United States with a few former sidekicks to find rare antiques and collectibles.,https://upmovies.net/watch/ox0yXlGe-barry-d-treasure-season-1.html,https://eplayvid.net/watch/1d20ded42e9fd9a,"https://eplayvid.net/watch/99c0d2ec540b885, https://eplayvid.net/watch/1d20ded42e9fd9a, https://eplayvid.net/watch/7311c4ba65f6c8e, https://eplayvid.net/watch/da6110e8b68d27a, https://eplayvid.net/watch/eeca4fe6031ed81, https://eplayvid.net/watch/759dcf271515ae8, https://eplayvid.net/watch/9c822fcddbae5d1, https://eplayvid.net/watch/0c7f36fe5374fc2"
9,https://cdn.upmovies.net/MV5BZmYxY2U5YjItMzFmYy00NTEzLTkxODMtNjFkMDZkYTUzMDMwXkEyXkFqcGdeQXVyNTM2MDEzNTg@._V1_SX300.jpg,D-frag! (dub),"Animation, Comedy",Japan,,,2014–,"Jamie Marchi, Sam Swanson",A high-school delinquent is shanghaied into joining a game development club by four not-so-normal girls.,https://upmovies.net/watch/qd798oxK-d-frag-dub.html,https://eplayvid.net/watch/22946693afbe59a,"https://eplayvid.net/watch/4031ee9c2ab1a72, https://eplayvid.net/watch/806db4d3f181428, https://eplayvid.net/watch/1fc21a2fc06c2bd, https://eplayvid.net/watch/8d09e44526b7cbd, https://eplayvid.net/watch/caeaa27c55ae7ba, https://eplayvid.net/watch/f224d73d5992fc5, https://eplayvid.net/watch/58d13d7af831423, https://eplayvid.net/watch/ebf476d087a0969, https://eplayvid.net/watch/cc86017fa961b1e, https://eplayvid.net/watch/c45486295ab0345, https://eplayvid.net/watch/22946693afbe59a, https://eplayvid.net/watch/95de03bcd107f88"
10,https://cdn.upmovies.net/MV5BMTY1NzUxNzE3NV5BMl5BanBnXkFtZTgwMDM4MDgwMTE@._V1_SX300.jpg,R.a.d.i.c.a.l.s,"Action, Adventure, Family",United States,Berenika Maciejewicz,80 min,2014,"Michela Crayton, Keith Nagel, Adia Dinh, Tim Taylor",Eight kids develop their natural talents to superhero levels to confront a comic-book-inspired villain kidnapping neighborhood dogs to pull off the crime of the century.,https://upmovies.net/watch/kvYkDAGb-r-a-d-i-c-a-l-s.html,https://eplayvid.net/watch/5d380b8cb330496,
