Poster URL,Title,Genres,Country,Director,Duration,Year,Actors,Description
https://cdn.upmovies.net/MV5BMTM0MTYwMjI4OV5BMl5BanBnXkFtZTcwMDkwNTczNA@@._V1_SX300.jpg,X 2011,"Crime, Drama, Thriller",Australia,Jon Hewitt,90 min,2011,"Viva Bianca, Hanna Mangan Lawrence, Peter Docker, Stephen Phillips",A veteran call girl and a runaway prostitute witness a murder and must evade the killer as he chases them through Sydney.
https://cdn.upmovies.net/MV5BMTJiMmE5YWItOWZjYS00YTg0LWE0MTYtMzg2ZTY4YjNkNDEzXkEyXkFqcGdeQXVyMTAzMDg4NzU0._V1_SX300.jpg,X (2022),"Horror, Mystery, Thriller","United States, Canada",Ti West,105 min,2022,"Mia Goth, Jenna Ortega, Brittany Snow","In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives."
https://cdn.upmovies.net/MV5BOTA1MTQ1N2EtNzFhNi00MTQxLWIxNmUtMjgxZDQ0N2I3MGE1XkEyXkFqcGdeQXVyMzI0MjM5MDI@._V1_SX300.jpg,X 2019,"Comedy, Drama, Thriller",United States,Scott J. Ramsey,127 min,2019,"Hope Raymond, Eliza Christine, Brian Smick, Zachary Cowan",The chair of a mysterious Foundation whose charity balls double as masked sex parties does everything in her power to protect her darkest secret: the hidden camera in her guest bathroom.
https://cdn.upmovies.net/MV5BMTg4NTkwNjg3MF5BMl5BanBnXkFtZTcwMDAyMjgyMQ@@._V1_SX300.jpg,X,"Animation, Action, Drama",Japan,N/A,24 min,2001–2002,"Ken'ichi Suzumura, Jun'ichi Suwabe, Ryôka Yuzuki, Crispin Freeman","Kamui Shirou and Fuuma Monou have been best friends ever since they were kids. Fate, however, separates them when Fuuma's mother died under a mysterious circumstances. Fast forward, 6 years..."
https://cdn.upmovies.net/MV5BMTg4NTkwNjg3MF5BMl5BanBnXkFtZTcwMDAyMjgyMQ@@._V1_SX300.jpg,X: Season 1,"Animation, Action, Drama",Japan,N/A,24 min,2002,"Ken'ichi Suzumura, Jun'ichi Suwabe, Ryôka Yuzuki, Crispin Freeman","Kamui Shirou and Fuuma Monou have been best friends ever since they were kids. Fate, however, separates them when Fuuma's mother died under a mysterious circumstances. Fast forward, 6 years..."
https://cdn.upmovies.net/MV5BYmIzNjE4NjgtZjM5Mi00NTI0LTg5NTEtM2U2NmYyZmU2MjlhXkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_SX300.jpg,Expedition X: Season 7,"Mystery, Reality-TV",United States,N/A,,2024,"Josh Gates, Phil Torres, Jessica Chobot","Josh Gates sends scientist Phil Torres and paranormal researcher Jessica Chobot to investigate supernatural encounters, mysterious creatures, and astonishing extraterrestrial phenomena, taking viewers to the stranger side of the u..."
https://cdn.upmovies.net/c6S0OOY.jpg,Saint X: Season 1,"Drama, Mystery, Thriller",United States,N/A,N/A,2023,"Alycia Debnam-Carey, Melissa Juliet Lawson, Jayden Elijah",Explores how a young woman's mysterious death creates a traumatic ripple effect that ultimately pulls her surviving sister into a dangerous pursuit of the truth.
https://cdn.upmovies.net/MV5BMmJhYjBkMzgtZGIwMC00YTAzLWE4NTQtYzVkNDVmYjIzODI0XkEyXkFqcGdeQXVyODQxMTI4MjM@._V1_SX300.jpg,Saw X,"Horror, Mystery, Thriller","United States, Mexico, Canada",Kevin Greutert,118 min,2023,"Tobin Bell, Shawnee Smith, Steven Brand","Chasing a promising procedure that would allegedly cure his cancer, John Kramer heads towards Mexico to go through an experimental treatment, only to find out he was prey for a scam. Now, the scammers becomes the prey on Jigsaw's ..."
https://cdn.upmovies.net/MV5BYmIzNjE4NjgtZjM5Mi00NTI0LTg5NTEtM2U2NmYyZmU2MjlhXkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_SX300.jpg,Expedition X: Season 8,"Mystery, Reality-TV",United States,N/A,,2024,"Josh Gates, Phil Torres, Jessica Chobot","Josh Gates sends scientist Phil Torres and paranormal researcher Jessica Chobot to investigate supernatural encounters, mysterious creatures, and astonishing extraterrestrial phenomena, taking viewers to the stranger side of the u..."
https://cdn.upmovies.net/7UkhgO1.jpeg,BEYBLADE X,"Adventure, Sports",Japan,,,2023,,"Kazami Bird, aiming to become a professional, meets former champion Kurosu Ex also known as 'Kamen X' and forms a team so that they can aim for the ""top"" of the X Tower. But what awaits them is a spectacular battle that no one has ever seen before. The yet unseen 'X'. The super accelerated (Xtreme) beyblade runs through a new era!"
https://cdn.upmovies.net/MV5BYThjMTNiZDEtMGU5MC00Y2JhLWE5NjctYjlhYjVkZTA2ZWQzXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_SX300.jpg,X (1996),"Animation, Action, Fantasy",Japan,Rintarô,100 min,1996,"Tomokazu Seki, Junko Iwao, Ken Narita","In 1999, a battle takes place between two factions of divine warriors for the fate of the world."
https://cdn.upmovies.net/MV5BYTc0MjBjZGEtYjU1ZC00MDA1LTk5NGYtYTA4ZWExYWZiM2Y2XkEyXkFqcGdeQXVyMTc2OTY0MDU@._V1_SX300.jpg,X Trillion,Documentary,United Kingdom,Eleanor Church,68 min,2024,N/A,"14 Women. 3000 Nautical Miles. X Trillion Pieces of Plastic. Adventure, discovery, science and solidarity."
https://cdn.upmovies.net/MV5BYmIzNjE4NjgtZjM5Mi00NTI0LTg5NTEtM2U2NmYyZmU2MjlhXkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_SX300.jpg,Expedition X: Season 5,"Mystery, Reality-TV",United States,N/A,42 min,2022,"Josh Gates, Phil Torres, Jessica Chobot","Josh Gates sends scientist Phil Torres and paranormal researcher Jessica Chobot to investigate supernatural encounters, mysterious creatures, and astonishing extraterrestrial phenomena, taking viewers to the stranger side of the u..."
https://cdn.upmovies.net/MV5BYmIzNjE4NjgtZjM5Mi00NTI0LTg5NTEtM2U2NmYyZmU2MjlhXkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_SX300.jpg,Expedition X: Season 6,"Mystery, Reality-TV",United States,N/A,,2023,"Josh Gates, Phil Torres, Jessica Chobot","Josh Gates sends scientist Phil Torres and paranormal researcher Jessica Chobot to investigate supernatural encounters, mysterious creatures, and astonishing extraterrestrial phenomena, taking viewers to the stranger side of the u..."
https://cdn.upmovies.net/1404882-madame-x-O4j6W.jpg,Madame X 2021,Documentary,United States,"Ricardo Gomes, SKNX",N/A,2021,N/A,Captures Madonna's latest tour.
https://cdn.upmovies.net/MV5BYmIzNjE4NjgtZjM5Mi00NTI0LTg5NTEtM2U2NmYyZmU2MjlhXkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_SX300.jpg,Expedition X: Season 3,"Mystery, Reality-TV",United States,N/A,42 min,2021,"Josh Gates, Phil Torres, Jessica Chobot","Josh Gates sends scientist Phil Torres and paranormal researcher Jessica Chobot to investigate supernatural encounters, mysterious creatures, and astonishing extraterrestrial phenomena, taking viewers to the stranger side of the unknown."
https://cdn.upmovies.net/MV5BODhiYjdiMDMtZDdkMC00YzY3LWIzNmEtYWE3NTNiNDFlMmRmXkEyXkFqcGdeQXVyMTk3MjQzMDU@._V1_SX300.jpg,Chapter X,"Drama, Fantasy, Horror",United States,Christopher Scott Bradshaw,100 min,2023,"Michael Flynn, Chantel Flanders, Richard Dutcher","Decades after the gruesome murder of his parents, Luke learns of a forgotten inheritance; a rustic cabin buried deep in the Wasatch Mountains. The property rekindles Luke's fragmented memories of that fateful night and unearths ne..."
https://cdn.upmovies.net/MV5BYmIzNjE4NjgtZjM5Mi00NTI0LTg5NTEtM2U2NmYyZmU2MjlhXkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_SX300.jpg,Expedition X: Season 4,"Mystery, Reality-TV",United States,N/A,42 min,2021,"Josh Gates, Phil Torres, Jessica Chobot","Josh Gates sends scientist Phil Torres and paranormal researcher Jessica Chobot to investigate supernatural encounters, mysterious creatures, and astonishing extraterrestrial phenomena, taking viewers to the stranger side of the unkn"
